"disasterNumber","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","paLoadDate","iaLoadDate","totalObligatedAmountHmgp","hash","lastRefresh","id"
1258,NA,NA,NA,NA,9574047.21,1178287.29,8395759.92,"2023-11-06T00:00:00.000Z",NA,2546649,"21c9eb10e884831403f621cb1fbeb706612ad2d2","2023-11-06T07:03:37.858Z","27613b21-3005-4afa-948a-7783b77de230"
1259,NA,NA,NA,NA,3099238.12,2656536.59,442701.53,"2023-11-06T00:00:00.000Z",NA,1129100,"63494b932cc77a552c188b7737e3e4a9ada2926b","2023-11-06T07:03:37.858Z","c25bf3e8-9efa-499f-ba8d-8bdd4fb6e5cc"
1263,NA,NA,NA,NA,1579219.78,113278.63,1465941.15,"2023-11-06T00:00:00.000Z",NA,235411,"fb12c9b50f4951b4fde2e05be777766b7f68ba09","2023-11-06T07:03:37.858Z","802a3b8c-c25e-4cc6-a549-3dc7c4c065df"
1439,19827,57974742.1,31700420.63,26274321.47,NA,NA,NA,NA,"2023-11-06T00:00:00.000Z",7154189,"da1d7ea59c7f8e03a6fe5f54776da4e3e66332c2","2023-11-06T07:03:37.858Z","549af173-ed82-47bc-a256-ee8dbbfb7a96"
1440,272,470371.72,376188.66,94183.06,18277293.72,1008608.59,17179138.74,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",2252775,"5b4fdce8d847005b1c66c6d6237130d09789fc9c","2023-11-06T07:03:37.858Z","03dff6cb-c18e-4d3b-acea-019faa42908f"
1441,412,1880461.2,741924.97,1138536.23,3202892.95,1353453.47,1716011.76,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",599700,"f78812397807cdf3b28ff856087c08292df9f94b","2023-11-06T07:03:37.858Z","6b584e0c-760c-46bc-947f-120366c93c88"
1442,530,3306085.11,1546858.08,1759227.03,12603404.04,11477322.11,1095358.52,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",2304130,"a445cc62ae91c1f7e39487b7e9939bf78dd396ca","2023-11-06T07:03:37.858Z","3afd1c0c-94cd-42e8-92f4-ba4ad41cb185"
1443,555,2028548.78,640454.36,1388094.42,20182808.77,1810120.86,18509601.88,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",1685619,"8ceb8a00e940dc9474a19f3f7dfa8c4e2681c055","2023-11-06T07:03:37.858Z","0b66ea65-456f-4fe1-b06e-09123b1a46c3"
1468,NA,NA,NA,NA,1741049.6,125789.02,1615260.58,"2023-11-06T00:00:00.000Z",NA,145376,"afe0b7779613460e5bcaa4391dbd70b88d5445f4","2023-11-06T04:42:49.773Z","720a415f-775d-4ed0-a20c-a5e351dc9fba"
1444,127,579893.02,297240.48,282652.54,NA,NA,NA,NA,"2023-11-06T00:00:00.000Z",140456,"7f8d9a2936882e576a3f862b55b679e10a78c8e9","2023-11-06T07:03:37.858Z","d9a9af30-3a35-42c7-8718-1d6c7d550ce7"
